Episode,Blue_Score,Red_Score,Blue_Patched,Red_Infected
755,13,7,5,2
756,61,21,7,2
757,72,43,7,4
758,65,38,7,4
759,30,28,7,2
760,55,-4,6,0
761,91,3,7,1
762,60,11,7,1
763,39,26,6,3
764,61,15,7,2
765,75,1,7,1
766,55,9,7,1
767,70,49,7,6
768,46,58,7,5
769,62,0,7,2
770,70,14,6,2
771,53,29,7,4
772,51,9,7,1
773,60,38,7,5
774,33,6,6,1
775,42,48,7,4
776,79,15,6,1
777,27,41,7,4
778,70,33,7,3
779,69,12,7,2
780,77,13,7,1
781,65,10,7,1
782,40,46,7,5
783,83,11,7,1
784,74,8,7,1
785,67,-2,7,0
786,43,-2,7,0
787,36,26,7,2
788,43,8,5,1
789,76,3,7,1
790,37,11,7,1
791,58,27,7,3
792,75,21,7,2
793,51,1,7,1
794,67,60,7,4
795,49,30,7,2
796,61,3,7,1
797,57,36,7,4
798,87,11,7,1
799,54,45,7,4
800,68,3,6,1
801,80,-1,7,1
802,53,31,7,3
803,62,-2,7,0
804,69,30,7,2
805,75,32,7,4
806,52,13,7,1
807,93,0,7,0
808,48,31,7,3
809,70,11,7,1
810,39,13,7,1
811,77,36,7,4
812,48,0,7,0
813,36,30,6,2
814,49,21,7,3
815,71,13,7,1
816,41,11,7,1
817,58,7,7,2
818,90,0,7,0
819,79,28,7,2
820,56,12,6,2
821,29,30,7,2
822,46,41,6,4
823,64,15,7,1
824,75,5,7,1
825,50,12,7,2
826,50,-1,5,1
827,65,46,7,5
828,63,15,7,1
829,54,13,6,1
830,80,-1,7,1
831,28,53,6,5
832,64,26,7,2
833,67,-2,7,0
834,65,30,7,2
835,84,18,7,2
836,63,8,7,1
837,28,18,6,2
838,40,43,7,4
839,47,12,7,2
840,46,28,7,2
841,73,30,7,2
842,48,5,7,1
843,61,18,6,2
844,77,14,7,2
845,78,34,7,4
846,43,18,7,2
847,64,23,7,2
848,42,23,7,4
849,30,16,7,2
850,63,15,7,3
851,46,43,6,3
852,78,-2,7,0
853,98,18,7,2
854,56,28,7,2
855,62,19,6,3
856,44,13,7,1
857,64,31,7,4
858,31,43,6,5
859,43,22,6,3
860,59,16,6,2
861,33,15,7,1
862,69,23,6,2
863,50,23,7,3
864,50,33,7,3
865,75,0,7,2
866,70,37,7,4
867,60,13,7,1
868,87,16,7,2
869,53,15,7,1
870,42,9,6,2
871,73,30,7,2
872,42,25,7,3
873,34,33,7,3
874,44,25,6,4
875,81,23,7,3
876,81,36,7,4
877,18,34,7,4
878,10,33,5,3
879,25,3,6,1
880,64,39,7,4
881,42,18,6,2
882,50,31,7,6
883,50,15,7,1
884,66,15,7,1
885,58,14,6,2
886,88,3,7,1
887,32,-1,7,1
888,83,23,7,4
889,72,5,7,1
890,70,0,7,0
891,56,1,7,1
892,51,40,7,4
893,78,8,7,2
894,72,44,7,5
895,73,-4,6,0
896,57,4,7,2
897,64,-1,7,1
898,76,24,7,3
899,77,1,6,1
900,54,47,6,6
901,22,36,7,5
902,75,60,7,5
903,48,0,7,0
904,64,1,7,1
905,34,15,5,1
906,42,18,6,2
907,25,20,7,3
908,54,11,6,2
909,57,15,6,1
910,67,12,7,2
911,78,39,7,4
912,55,18,7,2
913,58,30,7,2
914,49,45,7,3
915,72,16,7,2
916,34,13,6,1
917,42,18,6,2
918,33,50,7,6
919,74,13,7,1
920,83,15,7,1
921,58,31,7,3
922,71,9,7,1
923,44,-2,7,0
924,71,17,7,3
925,62,29,7,4
926,78,-2,7,0
927,47,-2,7,0
928,70,13,6,1
929,77,45,7,3
930,63,31,7,3
931,100,0,7,0
932,58,11,7,1
933,69,50,6,4
934,61,10,7,1
935,89,23,7,2
936,67,41,7,5
937,63,28,7,2
938,61,26,7,3
939,61,31,7,3
940,73,13,7,1
941,50,15,7,1
942,38,18,7,2
943,36,12,7,2
944,82,15,7,1
945,55,31,7,3
946,52,28,7,4
947,90,14,7,2
948,87,20,7,2
949,55,8,7,1
950,63,44,7,4
951,64,29,7,3
952,57,14,7,2
953,82,0,7,0
954,106,18,7,2
955,63,13,7,1
956,70,43,7,4
957,64,29,7,3
958,60,13,6,2
959,81,28,7,2
960,50,39,6,4
961,65,25,7,2
962,25,26,6,2
963,45,50,7,6
964,52,24,7,3
965,49,16,7,2
966,79,31,7,3
967,63,41,6,3
968,91,49,7,5
969,67,23,7,2
970,49,20,7,2
971,66,28,6,2
972,72,15,7,3
973,45,6,7,1
974,94,33,7,3
975,41,29,7,3
976,-9,60,6,6
977,46,43,7,6
978,34,13,7,1
979,27,15,7,1
980,61,16,7,2
981,48,16,6,2
982,67,0,7,0
983,62,0,7,0
984,85,26,7,3
985,95,2,7,2
986,17,25,5,2
987,25,14,7,2
988,87,13,7,1
989,59,1,6,1
990,7,43,6,4
991,35,43,6,4
992,12,28,5,3
993,79,-4,7,0
994,59,19,7,3
995,50,-1,6,1
996,41,6,6,1
997,33,30,7,2
998,15,-4,7,0
999,76,18,7,2
1000,76,5,7,1
